cat	MunicipalityName	RSFbin	RSF m2	RSF km2
28	Farsund	4	1227590.115	1.227590115
28	Farsund	5	540895.6445	0.540895645
28	Farsund	6	445496.4127	0.445496413
28	Farsund	7	425696.5721	0.425696572
28	Farsund	8	306897.5287	0.306897529
28	Farsund	9	120599.0289	0.120599029
28	Farsund	10	358197.1157	0.358197116
29	Arendal	1	228275961.8	228.2759618
30	Gaular	1	338153377.1	338.1533771
30	Gaular	2	51256387.26	51.25638726
30	Gaular	3	28461370.82	28.46137082
30	Gaular	4	21598026.08	21.59802608
30	Gaular	5	19273344.8	19.2733448
30	Gaular	6	20446035.36	20.44603536
30	Gaular	7	14692381.69	14.69238169
30	Gaular	8	10691013.91	10.69101391
30	Gaular	9	11573006.81	11.57300681
30	Gaular	10	14673481.84	14.67348184
31	Odda	1	1090583318	1090.583318
31	Odda	2	93478647.28	93.47864728
31	Odda	3	44263443.57	44.26344357
31	Odda	4	30990350.45	30.99035045
31	Odda	5	23195513.22	23.19551322
31	Odda	6	24928899.26	24.92889926
31	Odda	7	14140686.13	14.14068613
31	Odda	8	11083410.75	11.08341075
31	Odda	9	12816796.79	12.81679679
31	Odda	10	20128337.92	20.12833792
32	Vestre Toten	1	166976555.4	166.9765554
32	Vestre Toten	2	18899.84781	0.018899848
33	Hå	1	118773843.6	118.7738436
33	Hå	2	23363811.87	23.36381187
33	Hå	3	10797213.06	10.79721306
33	Hå	4	6696846.074	6.696846074
33	Hå	5	3296673.454	3.296673454
33	Hå	6	1955684.252	1.955684252
33	Hå	7	1513787.81	1.51378781
33	Hå	8	617395.0285	0.617395029
33	Hå	9	343797.2316	0.343797232
33	Hå	10	711894.2676	0.711894268
34	Agdenes	1	180272148.4	180.2721484
34	Agdenes	2	43787347.41	43.78734741
34	Agdenes	3	18068254.51	18.06825451
34	Agdenes	4	8726329.732	8.726329732
34	Agdenes	5	6534847.379	6.534847379
34	Agdenes	6	6185650.191	6.185650191
34	Agdenes	7	5486355.822	5.486355822
34	Agdenes	8	4818561.199	4.818561199
34	Agdenes	9	4648462.569	4.648462569
34	Agdenes	10	3158974.563	3.158974563
35	Ski	1	117794651.5	117.7946515
36	Selbu	1	634772988.6	634.7729886
36	Selbu	2	140424069.3	140.4240693
36	Selbu	3	74567999.55	74.56799955
36	Selbu	4	49467201.67	49.46720167
36	Selbu	5	38682588.51	38.68258851
36	Selbu	6	42747855.78	42.74785578
36	Selbu	7	42422958.39	42.42295839
36	Selbu	8	37544997.67	37.54499767
36	Selbu	9	40938870.34	40.93887034
36	Selbu	10	20984231.03	20.98423103
37	Melhus	1	458806405.5	458.8064055
37	Melhus	2	36599105.29	36.59910529
37	Melhus	3	16275468.94	16.27546894
37	Melhus	4	11744905.43	11.74490543
37	Melhus	5	10469615.69	10.46961569
37	Melhus	6	12331700.7	12.3317007
37	Melhus	7	14965079.5	14.9650795
37	Melhus	8	12677297.92	12.67729792
37	Melhus	9	11040211.1	11.0402111
37	Melhus	10	8450931.95	8.45093195
38	Ørsta	1	537686270.3	537.6862703
38	Ørsta	2	46008529.52	46.00852952
38	Ørsta	3	21840124.14	21.84012414
38	Ørsta	4	12761897.24	12.76189724
38	Ørsta	5	9658722.224	9.658722224
38	Ørsta	6	9084526.848	9.084526848
38	Ørsta	7	5731153.851	5.731153851
38	Ørsta	8	3697170.229	3.697170229
38	Ørsta	9	3911368.504	3.911368504
38	Ørsta	10	3491971.881	3.491971881
39	Gratangen	1	152066375.5	152.0663755
39	Gratangen	2	34960218.49	34.96021849
39	Gratangen	3	18706349.37	18.70634937
39	Gratangen	4	9904420.246	9.904420246
39	Gratangen	5	7300741.212	7.300741212
39	Gratangen	6	10192417.93	10.19241793
39	Gratangen	7	7826336.979	7.826336979
39	Gratangen	8	8164734.255	8.164734255
39	Gratangen	9	10779213.2	10.7792132
39	Gratangen	10	10706313.79	10.70631379
40	Bodø	1	771849984.8	771.8499848
40	Bodø	2	167492251.3	167.4922513
40	Bodø	3	88215489.66	88.21548966
40	Bodø	4	43958346.03	43.95834603
40	Bodø	5	32772336.1	32.7723361
40	Bodø	6	39705880.27	39.70588027
40	Bodø	7	23926307.34	23.92630734
40	Bodø	8	17500359.08	17.50035908
40	Bodø	9	18864748.09	18.86474809
40	Bodø	10	12039203.06	12.03920306
41	Haugesund	1	11327308.79	11.32730879
41	Haugesund	2	14211785.56	14.21178556
41	Haugesund	3	11293109.06	11.29310906
41	Haugesund	4	7226041.813	7.226041813
41	Haugesund	5	3003275.817	3.003275817
41	Haugesund	6	2542479.527	2.542479527
41	Haugesund	7	3445172.258	3.445172258
41	Haugesund	8	2206782.23	2.20678223
41	Haugesund	9	1620886.948	1.620886948
41	Haugesund	10	1997983.911	1.997983911
42	Luster	1	1479544886	1479.544886
42	Luster	2	133253827	133.253827
42	Luster	3	67196158.91	67.19615891
42	Luster	4	46293827.22	46.29382722
42	Luster	5	40589673.16	40.58967316
42	Luster	6	43071853.17	43.07185317
42	Luster	7	24078406.11	24.07840611
42	Luster	8	17736157.18	17.73615718
42	Luster	9	18516450.9	18.5164509
42	Luster	10	37155300.81	37.15530081
43	Bindal	1	763203754.4	763.2037544
43	Bindal	2	173589702.2	173.5897022
43	Bindal	3	63352289.86	63.35228986
43	Bindal	4	27841275.81	27.84127581
43	Bindal	5	20075238.35	20.07523835
43	Bindal	6	20800632.51	20.80063251
43	Bindal	7	25006298.64	25.00629864
43	Bindal	8	22040822.52	22.04082252
43	Bindal	9	22275720.63	22.27572063
43	Bindal	10	18707249.36	18.70724936
44	Saltdal	1	1139021828	1139.021828
44	Saltdal	2	293567736.1	293.5677361
44	Saltdal	3	165454667.7	165.4546677
44	Saltdal	4	90464571.55	90.46457155
44	Saltdal	5	76916080.64	76.91608064
44	Saltdal	6	85743209.56	85.74320956
44	Saltdal	7	58718227.18	58.71822718
44	Saltdal	8	52009681.2	52.0096812
44	Saltdal	9	63611487.78	63.61148778
44	Saltdal	10	41395166.67	41.39516667
45	Haram	1	173634701.8	173.6347018
45	Haram	2	20185037.46	20.18503746
45	Haram	3	9728921.659	9.728921659
45	Haram	4	6954244.002	6.954244002
45	Haram	5	5406256.467	5.406256467
45	Haram	6	5106558.88	5.10655888
45	Haram	7	3744869.845	3.744869845
45	Haram	8	3014975.722	3.014975722
45	Haram	9	2919576.49	2.91957649
45	Haram	10	2739577.94	2.73957794
46	Masfjorden	1	320530619	320.530619
46	Masfjorden	2	58353730.11	58.35373011
46	Masfjorden	3	28255272.48	28.25527248
46	Masfjorden	4	20148137.76	20.14813776
46	Masfjorden	5	18757648.96	18.75764896
46	Masfjorden	6	21283028.62	21.28302862
46	Masfjorden	7	14050686.86	14.05068686
46	Masfjorden	8	11309308.93	11.30930893
46	Masfjorden	9	12454099.71	12.45409971
46	Masfjorden	10	11856504.53	11.85650453
47	Elverum	1	1158895468	1158.895468
47	Elverum	2	6247749.691	6.247749691
47	Elverum	3	989992.0282	0.989992028
47	Elverum	4	492296.0358	0.492296036
47	Elverum	5	123299.0072	0.123299007
47	Elverum	6	26099.78984	0.02609979
47	Elverum	7	3599.971012	0.003599971
47	Elverum	8	3599.971012	0.003599971
47	Elverum	9	3599.971012	0.003599971
48	Fitjar	1	84450819.97	84.45081997
48	Fitjar	2	8132334.515	8.132334515
48	Fitjar	3	5781553.445	5.781553445
48	Fitjar	4	5234357.851	5.234357851
48	Fitjar	5	4429764.33	4.42976433
48	Fitjar	6	4617862.815	4.617862815
48	Fitjar	7	5351356.909	5.351356909
48	Fitjar	8	4963460.032	4.963460032
48	Fitjar	9	4787061.453	4.787061453
48	Fitjar	10	1727986.086	1.727986086
49	Tjeldsund	1	187802387.7	187.8023877
49	Tjeldsund	2	52526277.04	52.52627704
49	Tjeldsund	3	20925731.5	20.9257315
49	Tjeldsund	4	9204225.884	9.204225884
49	Tjeldsund	5	6824645.045	6.824645045
49	Tjeldsund	6	7297141.241	7.297141241
49	Tjeldsund	7	5315357.199	5.315357199
49	Tjeldsund	8	4157066.526	4.157066526
49	Tjeldsund	9	4724961.953	4.724961953
49	Tjeldsund	10	2501079.86	2.50107986
50	Kvam	1	388535871.4	388.5358714
50	Kvam	2	57155839.76	57.15583976
50	Kvam	3	28904167.25	28.90416725
50	Kvam	4	18552450.61	18.55245061
50	Kvam	5	12625098.34	12.62509834
50	Kvam	6	12592698.6	12.5926986
50	Kvam	7	12646698.16	12.64669816
50	Kvam	8	10973611.64	10.97361164
50	Kvam	9	14382784.18	14.38278418
50	Kvam	10	28106773.67	28.10677367
51	Evenes	1	169838532.4	169.8385324
51	Evenes	2	25365395.75	25.36539575
51	Evenes	3	12155302.12	12.15530212
51	Evenes	4	6775145.444	6.775145444
51	Evenes	5	3412772.519	3.412772519
51	Evenes	6	3399272.628	3.399272628
51	Evenes	7	2038483.585	2.038483585
51	Evenes	8	2141082.759	2.141082759
51	Evenes	9	3357872.961	3.357872961
51	Evenes	10	3250773.824	3.250773824
52	Bamble	1	270595421.1	270.5954211
53	Fjaler	1	232763325.7	232.7633257
53	Fjaler	2	32966734.54	32.96673454
53	Fjaler	3	19885339.88	19.88533988
53	Fjaler	4	18463351.33	18.46335133
53	Fjaler	5	16786664.83	16.78666483
53	Fjaler	6	19393943.83	19.39394383
53	Fjaler	7	13961587.58	13.96158758
53	Fjaler	8	10679314.01	10.67931401
53	Fjaler	9	13531391.04	13.53139104
53	Fjaler	10	14573582.65	14.57358265
54	Frogn	1	66049568.14	66.04956814
55	Båtsfjord	1	703548634.8	703.5486348
55	Båtsfjord	2	180745544.6	180.7455446
55	Båtsfjord	3	65260274.5	65.2602745
55	Båtsfjord	4	28512670.41	28.51267041
55	Båtsfjord	5	23406111.53	23.40611153
55	Båtsfjord	6	22380119.79	22.38011979
55	Båtsfjord	7	16720065.36	16.72006536
55	Båtsfjord	8	14247785.27	14.24778527
55	Båtsfjord	9	14135286.18	14.13528618
55	Båtsfjord	10	5377456.699	5.377456699
56	Ulstein	1	41801963.4	41.8019634
56	Ulstein	2	10774713.24	10.77471324
56	Ulstein	3	5934552.213	5.934552213
56	Ulstein	4	5414356.402	5.414356402
56	Ulstein	5	4996759.764	4.996759764
56	Ulstein	6	5842752.952	5.842752952
56	Ulstein	7	4034667.511	4.034667511
56	Ulstein	8	3207574.171	3.207574171
56	Ulstein	9	3527071.599	3.527071599
56	Ulstein	10	3632370.751	3.632370751
57	Bykle	1	618283321.3	618.2833213
57	Bykle	2	243980835.4	243.9808354
57	Bykle	3	108557125.9	108.5571259
57	Bykle	4	65888469.44	65.88846944
57	Bykle	5	55093056.37	55.09305637
57	Bykle	6	56875042.02	56.87504202
57	Bykle	7	37598997.24	37.59899724
57	Bykle	8	36816903.54	36.81690354
57	Bykle	9	42654256.53	42.65425653
57	Bykle	10	38300991.59	38.30099159
58	Skånland	1	315337660.8	315.3376608
58	Skånland	2	36897002.89	36.89700289
58	Skånland	3	16239469.23	16.23946923
58	Skånland	4	8947727.95	8.94772795
58	Skånland	5	7892936.443	7.892936443
58	Skånland	6	9527323.282	9.527323282
58	Skånland	7	6286449.379	6.286449379
58	Skånland	8	4851860.931	4.851860931
58	Skånland	9	5329757.083	5.329757083
58	Skånland	10	6715745.922	6.715745922
59	Målselv	1	1787337908	1787.337908
59	Målselv	2	387778977.5	387.7789775
59	Målselv	3	215513164.6	215.5131646
59	Målselv	4	130729347.3	130.7293473
59	Målselv	5	98133409.79	98.13340979
59	Målselv	6	92989051.22	92.98905122
59	Målselv	7	89785077.02	89.78507702
59	Målselv	8	83923424.22	83.92342422
59	Målselv	9	93922343.7	93.9223437
59	Målselv	10	47015621.41	47.01562141
60	Hamarøy	1	710258080.7	710.2580807
60	Hamarøy	2	84233921.72	84.23392172
60	Hamarøy	3	31842643.59	31.84264359
60	Hamarøy	4	17256461.04	17.25646104
60	Hamarøy	5	13830188.63	13.83018863
60	Hamarøy	6	13386492.21	13.38649221
60	Hamarøy	7	8744329.587	8.744329587
60	Hamarøy	8	6337748.966	6.337748966
60	Hamarøy	9	6240549.749	6.240549749
60	Hamarøy	10	5177658.308	5.177658308
61	Hyllestad	1	157852428.9	157.8524289
61	Hyllestad	2	23778708.52	23.77870852
61	Hyllestad	3	14147886.08	14.14788608
61	Hyllestad	4	10968211.68	10.96821168
61	Hyllestad	5	7782237.335	7.782237335
61	Hyllestad	6	8244833.61	8.24483361
61	Hyllestad	7	7909136.313	7.909136313
61	Hyllestad	8	6430448.22	6.43044822
61	Hyllestad	9	7313341.11	7.31334111
61	Hyllestad	10	4664662.438	4.664662438
62	Sørfold	1	976628935.8	976.6289358
62	Sørfold	2	173784100.6	173.7841006
62	Sørfold	3	77675674.53	77.67567453
62	Sørfold	4	31954242.69	31.95424269
62	Sørfold	5	24109905.86	24.10990586
62	Sørfold	6	25854091.81	25.85409181
62	Sørfold	7	16848764.33	16.84876433
62	Sørfold	8	13624090.29	13.62409029
62	Sørfold	9	16558066.67	16.55806667
62	Sørfold	10	12541399.01	12.54139901
63	Re	1	142992648.6	142.9926486
64	Sør-Odal	1	416943242.6	416.9432426
65	Forsand	1	424647180.6	424.6471806
65	Forsand	2	102182477.2	102.1824772
65	Forsand	3	48270211.31	48.27021131
65	Forsand	4	23082114.13	23.08211413
65	Forsand	5	17637157.98	17.63715798
65	Forsand	6	18881847.96	18.88184796
65	Forsand	7	12230901.51	12.23090151
65	Forsand	8	10227517.64	10.22751764
65	Forsand	9	12861796.43	12.86179643
65	Forsand	10	8290733.24	8.29073324
66	Randaberg	1	8332132.907	8.332132907
67	Meløy	1	470553110.9	470.5531109
67	Meløy	2	66969360.74	66.96936074
67	Meløy	3	24180105.29	24.18010529
67	Meløy	4	16828064.49	16.82806449
67	Meløy	5	9544423.145	9.544423145
67	Meløy	6	11779105.15	11.77910515
67	Meløy	7	6325149.068	6.325149068
67	Meløy	8	3828569.171	3.828569171
67	Meløy	9	4676362.344	4.676362344
67	Meløy	10	2857476.991	2.857476991
68	Nesseby	1	279462149.7	279.4621497
68	Nesseby	2	338053477.9	338.0534779
68	Nesseby	3	194115836.9	194.1158369
68	Nesseby	4	113188488.6	113.1884886
68	Nesseby	5	97702313.26	97.70231326
68	Nesseby	6	75316793.52	75.31679352
68	Nesseby	7	101003486.7	101.0034867
68	Nesseby	8	70875329.29	70.87532929
68	Nesseby	9	41362766.93	41.36276693
68	Nesseby	10	16378068.12	16.37806812
69	Vestre Slidre	1	214418773.4	214.4187734
69	Vestre Slidre	2	61798902.37	61.79890237
69	Vestre Slidre	3	32645437.13	32.64543713
69	Vestre Slidre	4	24211605.04	24.21160504
69	Vestre Slidre	5	16565266.61	16.56526661
69	Vestre Slidre	6	14125386.26	14.12538626
69	Vestre Slidre	7	16974763.31	16.97476331
69	Vestre Slidre	8	14231585.4	14.2315854
69	Vestre Slidre	9	12454999.71	12.45499971
69	Vestre Slidre	10	18052954.63	18.05295463
70	Lierne	1	1043813395	1043.813395
70	Lierne	2	423919986.4	423.9199864
70	Lierne	3	257457326.9	257.4573269
70	Lierne	4	165604966.5	165.6049665
70	Lierne	5	134563316.4	134.5633164
70	Lierne	6	148569003.7	148.5690037
70	Lierne	7	139956973	139.956973
70	Lierne	8	120682728.2	120.6827282
70	Lierne	9	121408122.4	121.4081224
70	Lierne	10	60133015.79	60.13301579
71	Dyrøy	1	159212318	159.212318
71	Dyrøy	2	27435379.08	27.43537908
71	Dyrøy	3	12594498.58	12.59449858
71	Dyrøy	4	5919252.336	5.919252336
71	Dyrøy	5	4972459.96	4.97245996
71	Dyrøy	6	5822953.111	5.822953111
71	Dyrøy	7	3711570.113	3.711570113
71	Dyrøy	8	3576571.2	3.5765712
71	Dyrøy	9	4336165.084	4.336165084
71	Dyrøy	10	4121066.816	4.121066816
72	Sauherad	1	250751480.9	250.7514809
72	Sauherad	2	11594606.64	11.59460664
72	Sauherad	3	2893476.701	2.893476701
72	Sauherad	4	921592.579	0.921592579
72	Sauherad	5	865793.0283	0.865793028
72	Sauherad	6	600295.1662	0.600295166
72	Sauherad	7	594895.2097	0.59489521
72	Sauherad	8	233098.123	0.233098123
72	Sauherad	9	129598.9564	0.129598956
72	Sauherad	10	40499.67388	0.040499674
73	Hornindal	1	112602593.3	112.6025933
73	Hornindal	2	15903771.94	15.90377194
73	Hornindal	3	8256533.515	8.256533515
73	Hornindal	4	4972459.96	4.97245996
73	Hornindal	5	4836561.054	4.836561054
73	Hornindal	6	5810353.213	5.810353213
73	Hornindal	7	2559579.389	2.559579389
73	Hornindal	8	1862984.999	1.862984999
73	Hornindal	9	1983584.027	1.983584027
73	Hornindal	10	3370472.86	3.37047286
74	Sogndal	1	471944499.7	471.9444997
74	Sogndal	2	41516665.69	41.51666569
74	Sogndal	3	20856432.06	20.85643206
74	Sogndal	4	14092086.53	14.09208653
74	Sogndal	5	11228309.59	11.22830959
74	Sogndal	6	12385700.27	12.38570027
74	Sogndal	7	8052235.16	8.05223516
74	Sogndal	8	5613254.8	5.6132548
74	Sogndal	9	6698646.06	6.69864606
74	Sogndal	10	21809524.38	21.80952438
75	Alvdal	1	474576078.5	474.5760785
75	Alvdal	2	105956146.8	105.9561468
75	Alvdal	3	69060043.9	69.0600439
75	Alvdal	4	54553960.71	54.55396071
75	Alvdal	5	49572500.82	49.57250082
75	Alvdal	6	52471377.48	52.47137748
75	Alvdal	7	26719884.84	26.71988484
75	Alvdal	8	18293252.7	18.2932527
75	Alvdal	9	18566850.49	18.56685049
75	Alvdal	10	25476994.85	25.47699485
76	Nord-Aurdal	1	506231523.6	506.2315236
76	Nord-Aurdal	2	110637909.1	110.6379091
76	Nord-Aurdal	3	49903698.16	49.90369816
76	Nord-Aurdal	4	36602705.26	36.60270526
76	Nord-Aurdal	5	33772228.05	33.77222805
76	Nord-Aurdal	6	32046941.95	32.04694195
76	Nord-Aurdal	7	35298615.76	35.29861576
76	Nord-Aurdal	8	23155013.55	23.15501355
76	Nord-Aurdal	9	20481135.08	20.48113508
76	Nord-Aurdal	10	10984411.55	10.98441155
77	Hemne	1	357629220.2	357.6292202
77	Hemne	2	66782162.25	66.78216225
77	Hemne	3	35531713.89	35.53171389
77	Hemne	4	29091365.75	29.09136575
77	Hemne	5	26227588.81	26.22758881
77	Hemne	6	31784144.06	31.78414406
77	Hemne	7	21772624.68	21.77262468
77	Hemne	8	15759773.1	15.7597731
77	Hemne	9	17549858.68	17.54985868
77	Hemne	10	14709481.55	14.70948155
78	Sør-Aurdal	1	817096220.4	817.0962204
78	Sør-Aurdal	2	73820105.57	73.82010557
78	Sør-Aurdal	3	39590681.2	39.5906812
78	Sør-Aurdal	4	25727192.84	25.72719284
78	Sør-Aurdal	5	17337460.39	17.33746039
